phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,198.12607999137944,31.25,0,0,6,2,1594.7,23.47926199261993,1618.17926199262,-282.0,-159.46999999999997,-441.47,55,59,58,61,55
train,0.1,1,-1,0.9982,103.51959300319405,70.13888888888889,48,9,0,0,1711.7999999999997,23.47926199261993,1735.2792619926197,-1446.0,-171.18,-1617.1799999999998,49,60,50,63,66
train,0.1,2,-1,0.9964,118.01875213141041,67.01388888888889,34,5,0,0,1566.3999999999999,23.47926199261993,1589.8792619926198,-1076.0,-156.64,-1232.64,62,56,56,58,56
train,0.1,3,-1,0.9946,149.73162203959043,81.25,0,0,0,0,1588.5,23.47926199261993,1611.97926199262,-20.0,-158.85000000000002,-178.85000000000002,54,61,63,53,57
train,0.1,4,-1,0.9928,138.6502713268044,80.20833333333334,20,6,0,0,1570.3,23.47926199261993,1593.77926199262,-330.0,-157.03,-487.03,62,60,53,54,59
train,0.1,5,-1,0.991,170.37067448920536,46.875,6,1,0,0,1597.1,23.47926199261993,1620.5792619926199,-214.0,-159.70999999999998,-373.71000000000004,55,62,59,53,59
train,0.1,6,-1,0.9892,150.95903849060588,77.77777777777779,0,0,0,0,1690.7,23.47926199261993,1714.17926199262,-86.0,-169.07,-255.07,61,47,49,64,67
train,0.1,7,-1,0.9874,171.144355120858,58.333333333333336,0,0,0,0,1658.6999999999998,23.47926199261993,1682.1792619926198,136.0,-165.87,-29.870000000000005,51,59,60,55,63
train,0.1,8,-1,0.9856,77.11451518975201,35.76388888888889,162,6,0,0,1587.0,23.47926199261993,1610.47926199262,-3564.0,-158.7,-3722.7,59,55,62,54,58
train,0.1,9,-1,0.9838,147.95794581010963,89.58333333333334,0,0,0,0,1669.1,23.47926199261993,1692.5792619926199,66.0,-166.91,-100.91,56,53,53,63,63
train,0.1,10,-1,0.982,185.40822425257187,46.18055555555556,0,0,0,0,1668.8999999999996,23.47926199261993,1692.3792619926196,126.0,-166.89,-40.89000000000001,52,55,57,63,61
train,0.1,11,-1,0.9802,116.69742917710745,31.59722222222222,87,11,0,0,1603.8999999999999,23.47926199261993,1627.3792619926198,-2073.0,-160.39,-2233.39,62,39,70,62,55
train,0.1,12,-1,0.9784,82.21673226700106,38.88888888888889,155,9,0,0,1661.6,23.47926199261993,1685.0792619926199,-3273.0,-166.15999999999997,-3439.1600000000003,55,56,55,58,64
train,0.1,13,-1,0.9766,144.04103105199306,69.44444444444444,0,0,0,0,1509.1,23.47926199261993,1532.5792619926199,-196.0,-150.91,-346.9100000000001,61,72,57,39,59
