phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,198.8844133247127,31.25,0,0,6,2,1550.0,23.47926199261993,1573.47926199262,-278.0,-155.0,-433.0,63,52,59,62,52
train,0.1,1,-1,0.9982,103.99750966986069,70.83333333333334,46,8,0,0,1636.2,23.47926199261993,1659.67926199262,-1404.0,-163.62,-1567.6200000000003,63,53,51,55,66
train,0.1,2,-1,0.9964,117.14954886219213,65.27777777777779,38,6,0,0,1708.2,23.47926199261993,1731.67926199262,-1146.0,-170.82,-1316.8200000000002,48,53,59,66,62
train,0.1,3,-1,0.9946,147.00121405347937,85.41666666666666,0,0,0,0,1724.7999999999997,23.47926199261993,1748.2792619926197,-48.0,-172.48000000000002,-220.48000000000005,47,59,56,58,68
train,0.1,4,-1,0.9928,136.3471289656933,80.20833333333334,24,6,0,0,1662.5,23.47926199261993,1685.97926199262,-396.0,-166.25,-562.25,53,60,55,55,65
train,0.1,5,-1,0.991,169.50768837809423,46.875,6,1,0,0,1600.1999999999998,23.47926199261993,1623.6792619926198,-210.0,-160.01999999999998,-370.02000000000004,61,59,52,54,62
train,0.1,6,-1,0.9892,151.0982051572725,78.125,0,0,0,0,1659.4,23.47926199261993,1682.87926199262,-88.0,-165.94,-253.94000000000003,51,52,63,64,58
train,0.1,7,-1,0.9874,174.8438950514136,54.861111111111114,0,0,0,0,1507.4,23.47926199261993,1530.87926199262,148.0,-150.73999999999998,-2.740000000000002,48,68,63,71,38
train,0.1,8,-1,0.9856,77.03298821595202,35.76388888888889,163,5,0,0,1564.4,23.47926199261993,1587.87926199262,-3579.0,-156.44,-3735.4399999999996,62,64,50,52,60
train,0.1,9,-1,0.9838,147.06523747677628,91.31944444444444,0,0,0,0,1674.1999999999998,23.47926199261993,1697.6792619926198,48.0,-167.42000000000002,-119.42,49,55,58,68,58
train,0.1,10,-1,0.982,184.28338050257184,48.26388888888889,0,0,0,0,1622.3999999999999,23.47926199261993,1645.8792619926198,134.0,-162.24,-28.24000000000001,59,59,53,53,64
train,0.1,11,-1,0.9802,117.10926058532658,31.944444444444443,84,8,0,0,1544.3999999999999,23.47926199261993,1567.8792619926198,-2020.0,-154.44,-2174.44,67,48,64,53,56
train,0.1,12,-1,0.9784,82.92158923205207,39.93055555555556,150,8,0,0,1635.6,23.47926199261993,1659.0792619926199,-3192.0,-163.56,-3355.5600000000004,61,49,60,54,64
train,0.1,13,-1,0.9766,144.70472896865962,71.52777777777779,0,0,0,0,1468.8,23.47926199261993,1492.27926199262,-198.0,-146.88,-344.88,64,58,68,50,48
train,0.1,14,-1,0.9748,140.93220783445503,27.430555555555557,47,7,0,0,1739.9999999999998,23.47926199261993,1763.4792619926197,-1385.0,-174.0,-1559.0,50,54,58,54,72
train,0.1,15,-1,0.973,187.09141909428683,39.93055555555556,0,0,0,0,1615.3999999999999,23.47926199261993,1638.8792619926198,104.0,-161.54,-57.53999999999999,49,55,65,69,50
train,0.1,16,-1,0.9712,276.3943046744697,6.597222222222222,0,0,88,6,1642.0,23.47926199261993,1665.47926199262,-1034.0,-164.2,-1198.2,47,71,58,48,64
train,0.1,17,-1,0.9694,90.55774553490463,54.861111111111114,86,10,0,0,1600.3999999999999,23.47926199261993,1623.8792619926198,-2322.0,-160.04,-2482.04,66,49,52,61,60
train,0.1,18,-1,0.9676,156.5542656049254,62.84722222222222,8,1,0,0,1659.7,23.47926199261993,1683.17926199262,-262.0,-165.97,-427.97,49,57,65,56,61
train,0.1,19,-1,0.9658,211.90388428325457,12.5,0,0,0,0,1679.8,23.47926199261993,1703.27926199262,-128.0,-167.98,-295.98,51,67,51,49,70
train,0.1,20,-1,0.964,113.39922471094127,69.44444444444444,53,9,0,0,1547.6999999999998,23.47926199261993,1571.1792619926198,-1317.0,-154.77,-1471.7700000000002,52,68,64,51,53
train,0.1,21,-1,0.9621999999999999,151.12207462161484,74.30555555555556,7,4,0,0,1562.3999999999999,23.47926199261993,1585.8792619926198,-135.0,-156.24,-291.24000000000007,54,52,72,62,48
train,0.1,22,-1,0.9604,148.82307172724296,95.13888888888889,0,0,0,0,1642.2,23.47926199261993,1665.67926199262,156.0,-164.21999999999997,-8.220000000000006,50,56,58,70,54
train,0.1,23,-1,0.9586,199.7977649216533,29.86111111111111,0,0,0,0,1705.6,23.47926199261993,1729.0792619926199,-26.0,-170.56,-196.56,53,57,64,38,76
train,0.1,24,-1,0.9568,97.28947188240102,54.166666666666664,104,9,0,0,1664.6999999999998,23.47926199261993,1688.1792619926198,-2388.0,-166.47,-2554.4700000000003,46,54,66,67,55
train,0.1,25,-1,0.955,196.27918303516577,36.45833333333333,2,2,4,2,1602.0,23.47926199261993,1625.47926199262,-250.0,-160.2,-410.20000000000005,48,62,64,62,52
train,0.1,26,-1,0.9532,249.5094446707337,16.319444444444446,0,0,95,6,1561.1999999999998,23.47926199261993,1584.6792619926198,-1035.0,-156.12,-1191.1200000000001,62,53,63,54,56
train,0.1,27,-1,0.9514,163.26439846229277,75.34722222222221,0,0,0,0,1583.4,23.47926199261993,1606.87926199262,224.0,-158.33999999999997,65.66,71,42,60,53,62
train,0.1,28,-1,0.9496,86.88344844048743,46.875,100,13,0,0,1564.7,23.47926199261993,1588.17926199262,-2502.0,-156.47,-2658.4700000000003,56,66,54,57,55
train,0.1,29,-1,0.9478,206.1370180266861,36.11111111111111,0,0,16,5,1611.6999999999998,23.47926199261993,1635.1792619926198,-122.0,-161.17,-283.16999999999996,53,63,61,50,61
train,0.1,30,-1,0.946,121.6472868984787,86.45833333333334,3,2,0,0,1668.6999999999998,23.47926199261993,1692.1792619926198,-621.0,-166.87,-787.8700000000001,46,66,58,55,63
train,0.1,31,-1,0.9442,154.2441947199883,79.51388888888889,0,0,0,0,1579.6,23.47926199261993,1603.0792619926199,176.0,-157.95999999999998,18.039999999999992,57,74,41,56,60
train,0.1,32,-1,0.9424,240.8162630076617,16.666666666666664,0,0,72,3,1563.7999999999997,23.47926199261993,1587.2792619926197,-748.0,-156.38,-904.38,59,61,53,61,54
train,0.1,33,-1,0.9406,237.6755365739732,12.847222222222221,0,0,23,3,1666.8000000000002,23.47926199261993,1690.2792619926201,-349.0,-166.68,-515.6800000000001,49,58,66,51,64
train,0.1,34,-1,0.9388,194.2797780373754,33.33333333333333,0,0,0,0,1548.4,23.47926199261993,1571.87926199262,40.0,-154.84,-114.84,58,55,61,66,48
train,0.1,35,-1,0.9369999999999999,225.0529530309858,31.59722222222222,0,0,49,4,1534.1,23.47926199261993,1557.5792619926199,-503.0,-153.41,-656.41,54,70,53,62,49
train,0.1,36,-1,0.9352,187.8503574182922,53.47222222222222,0,0,12,2,1558.7999999999997,23.47926199261993,1582.2792619926197,-50.0,-155.88,-205.88,68,58,53,45,64
train,0.1,37,-1,0.9334,255.79825307371215,9.722222222222223,0,0,84,1,1683.2,23.47926199261993,1706.67926199262,-946.0,-168.32,-1114.32,52,65,47,56,68
train,0.1,38,-1,0.9316,260.4844472995087,8.680555555555555,0,0,68,6,1699.5,23.47926199261993,1722.97926199262,-812.0,-169.95,-981.95,55,50,50,70,63
train,0.1,39,-1,0.9298,108.26139760041511,73.95833333333334,30,7,0,0,1593.3000000000002,23.47926199261993,1616.7792619926201,-1128.0,-159.32999999999998,-1287.33,51,70,47,67,53
train,0.1,40,-1,0.9279999999999999,171.14099502649267,63.19444444444444,0,0,0,0,1443.2,23.47926199261993,1466.67926199262,24.0,-144.32,-120.32,68,64,56,52,48
train,0.1,41,-1,0.9262,115.4518390358888,89.23611111111111,22,1,0,0,1462.7,23.47926199261993,1486.17926199262,-816.0,-146.26999999999998,-962.27,77,54,47,59,51
train,0.1,42,-1,0.9244,109.14029751031993,77.43055555555556,43,8,0,0,1549.5,23.47926199261993,1572.97926199262,-1251.0,-154.95,-1405.95,51,73,54,59,51
train,0.1,43,-1,0.9226,80.07195529306331,40.27777777777778,128,15,0,0,1556.8,23.47926199261993,1580.27926199262,-3042.0,-155.68,-3197.68,63,64,43,62,56
train,0.1,44,-1,0.9208000000000001,149.23811346604805,80.55555555555556,0,0,0,0,1514.2999999999997,23.47926199261993,1537.7792619926197,-66.0,-151.43,-217.43,62,67,47,61,51
train,0.1,45,-1,0.919,161.9070244942286,66.66666666666666,0,0,0,0,1522.8,23.47926199261993,1546.27926199262,-18.0,-152.27999999999997,-170.28,69,47,61,59,52
train,0.1,46,-1,0.9172,162.79627731904907,76.38888888888889,0,0,0,0,1658.6999999999998,23.47926199261993,1682.1792619926198,248.0,-165.87,82.13,63,54,43,61,67
train,0.1,47,-1,0.9154,118.53101358409256,55.90277777777778,82,7,0,0,1648.8999999999999,23.47926199261993,1672.3792619926198,-1704.0,-164.89,-1868.8899999999999,47,70,52,58,61
train,0.1,48,-1,0.9136,92.5489707378719,63.888888888888886,63,7,0,0,1583.3,23.47926199261993,1606.77926199262,-1995.0,-158.33,-2153.3300000000004,56,63,63,45,61
train,0.1,49,-1,0.9117999999999999,327.02968545911557,2.7777777777777777,0,0,220,2,1620.0,23.47926199261993,1643.47926199262,-2248.0,-162.0,-2410.0,51,64,60,53,60
eval,0.1,49,0,0.0,349.72489379319825,6.25,0,0,254,1,9.6,23.47926199261993,33.07926199261993,-2532.0,-0.96,-2532.96,286,0,2,0,0
eval,0.1,49,1,0.0,314.3759104440321,2.7777777777777777,0,0,219,4,14.399999999999999,23.47926199261993,37.87926199261993,-2231.0,-1.44,-2232.44,285,0,3,0,0
eval,0.1,49,2,0.0,79.28149889377697,37.15277777777778,93,13,0,0,761.2,23.47926199261993,784.67926199262,-2691.0,-76.11999999999999,-2767.120000000001,24,253,11,0,0
eval,0.1,49,3,0.0,94.76686126256511,70.48611111111111,57,7,0,0,720.0,23.47926199261993,743.47926199262,-1905.0,-71.99999999999999,-1977.0,38,240,10,0,0
eval,0.1,49,4,0.0,217.73706708248838,5.208333333333334,0,0,3,2,28.799999999999997,23.47926199261993,52.27926199261992,-145.0,-2.88,-147.88,282,0,6,0,0
train,0.1,50,-1,0.91,133.15342001102414,59.375,34,4,0,0,1559.4,23.47926199261993,1582.87926199262,-1016.0,-155.94,-1171.94,51,67,52,72,46
train,0.1,51,-1,0.9082,232.61800425700008,25.34722222222222,0,0,48,4,1684.1,23.47926199261993,1707.5792619926199,-784.0,-168.41,-952.4100000000001,53,52,54,68,61
train,0.1,52,-1,0.9064,176.07302083152098,58.68055555555556,0,0,0,0,1532.8,23.47926199261993,1556.27926199262,198.0,-153.27999999999997,44.72,63,62,55,52,56
train,0.1,53,-1,0.9046,222.64712890915112,2.7777777777777777,0,0,4,4,1431.1,23.47926199261993,1454.5792619926199,-178.0,-143.11,-321.11,78,59,47,53,51
train,0.1,54,-1,0.9028,118.44074856902074,64.93055555555556,68,2,0,0,1394.5,23.47926199261993,1417.97926199262,-1408.0,-139.45,-1547.45,76,59,62,42,49
train,0.1,55,-1,0.901,200.21886877717102,24.65277777777778,0,0,0,0,1526.7,23.47926199261993,1550.17926199262,18.0,-152.67000000000002,-134.67,76,44,37,84,47
train,0.1,56,-1,0.8992,119.3705533037277,78.125,51,2,0,0,1508.8,23.47926199261993,1532.27926199262,-1113.0,-150.88,-1263.8799999999999,57,59,71,53,48
train,0.1,57,-1,0.8974,113.5286961742816,84.72222222222221,24,4,0,0,1481.1999999999998,23.47926199261993,1504.6792619926198,-966.0,-148.12,-1114.1200000000001,56,71,56,61,44
train,0.1,58,-1,0.8956,150.26769916651912,92.01388888888889,0,0,0,0,1474.9,23.47926199261993,1498.37926199262,156.0,-147.49,8.509999999999984,53,74,63,53,45
train,0.1,59,-1,0.8938,180.9420968547896,50.69444444444444,0,0,0,0,1679.8999999999999,23.47926199261993,1703.3792619926198,166.0,-167.99,-1.990000000000009,56,56,51,58,67
train,0.1,60,-1,0.892,128.9798941915253,80.55555555555556,7,1,0,0,1590.8999999999999,23.47926199261993,1614.3792619926198,-571.0,-159.08999999999997,-730.09,51,67,60,53,57
train,0.1,61,-1,0.8902,86.09759582520302,57.638888888888886,100,9,0,0,1454.0,23.47926199261993,1477.47926199262,-2538.0,-145.4,-2683.4000000000005,54,74,59,61,40
train,0.1,62,-1,0.8884,143.67261663118512,36.11111111111111,46,3,0,0,1426.8,23.47926199261993,1450.27926199262,-1318.0,-142.68,-1460.68,62,74,54,54,44
train,0.1,63,-1,0.8866,113.91024353530763,56.25,86,6,0,0,1418.4,23.47926199261993,1441.87926199262,-1800.0,-141.83999999999997,-1941.8400000000001,65,71,47,65,40
train,0.1,64,-1,0.8848,315.01641470324626,1.7361111111111112,0,0,195,5,1726.7999999999997,23.47926199261993,1750.2792619926197,-2023.0,-172.68,-2195.68,44,47,70,67,60
train,0.1,65,-1,0.883,197.9333535296826,48.95833333333333,0,0,2,2,1556.1999999999998,23.47926199261993,1579.6792619926198,-16.0,-155.62,-171.62,72,49,55,50,62
train,0.1,66,-1,0.8812,178.79470312732727,56.94444444444444,0,0,0,0,1396.8000000000002,23.47926199261993,1420.2792619926201,76.0,-139.68,-63.68,83,47,68,38,52
train,0.1,67,-1,0.8794,188.87974447157595,42.01388888888889,0,0,0,0,1787.1,23.47926199261993,1810.5792619926199,108.0,-178.70999999999998,-70.71,47,59,53,50,79
train,0.1,68,-1,0.8775999999999999,89.33383222724086,51.388888888888886,110,1,0,0,1592.7,23.47926199261993,1616.17926199262,-2622.0,-159.26999999999998,-2781.27,59,56,53,65,55
train,0.1,69,-1,0.8758,124.62926550707945,90.27777777777779,5,2,0,0,1485.8,23.47926199261993,1509.27926199262,-543.0,-148.57999999999998,-691.58,52,65,72,57,42
train,0.1,70,-1,0.874,185.55549442809817,53.125,0,0,0,0,1490.7,23.47926199261993,1514.17926199262,122.0,-149.07,-27.07,91,40,44,50,63
train,0.1,71,-1,0.8722,134.7416726732054,59.72222222222222,22,6,0,0,1523.9,23.47926199261993,1547.37926199262,-814.0,-152.39,-966.39,66,61,50,56,55
train,0.1,72,-1,0.8704000000000001,163.56504601320856,70.83333333333334,0,0,0,0,1448.5,23.47926199261993,1471.97926199262,-64.0,-144.85,-208.84999999999997,66,70,51,52,49
train,0.1,73,-1,0.8686,182.23089943132302,39.58333333333333,0,0,0,0,1472.9,23.47926199261993,1496.37926199262,66.0,-147.29000000000002,-81.29,62,66,60,51,49
train,0.1,74,-1,0.8668,141.2470338795778,85.06944444444444,2,2,0,0,1497.1,23.47926199261993,1520.5792619926199,-6.0,-149.71,-155.70999999999998,68,64,56,41,59
train,0.1,75,-1,0.865,197.84690287415185,29.166666666666668,0,0,0,0,1588.3,23.47926199261993,1611.77926199262,34.0,-158.82999999999998,-124.83000000000001,49,71,63,46,59
train,0.1,76,-1,0.8632,219.8492031281586,13.88888888888889,0,0,0,0,1573.6,23.47926199261993,1597.0792619926199,-60.0,-157.36,-217.36,74,46,52,52,64
train,0.1,77,-1,0.8613999999999999,144.9063015897921,53.125,26,3,0,0,1701.1,23.47926199261993,1724.5792619926199,-774.0,-170.11,-944.1100000000001,52,55,63,47,71
train,0.1,78,-1,0.8596,264.3101337555551,7.986111111111111,0,0,63,10,1532.5,23.47926199261993,1555.97926199262,-789.0,-153.25,-942.25,70,52,62,43,61
train,0.1,79,-1,0.8578,146.51286394724087,79.16666666666666,2,1,0,0,1507.5,23.47926199261993,1530.97926199262,-164.0,-150.75,-314.75,79,45,48,61,55
train,0.1,80,-1,0.856,333.81270152470876,2.083333333333333,0,0,229,2,1526.1,23.47926199261993,1549.5792619926199,-2327.0,-152.60999999999999,-2479.6100000000006,65,49,62,63,49
train,0.1,81,-1,0.8542,84.04959539891492,51.388888888888886,95,7,0,0,1406.4,23.47926199261993,1429.87926199262,-2583.0,-140.64,-2723.6400000000003,70,79,45,42,52
train,0.1,82,-1,0.8524,191.7156923588876,53.47222222222222,0,0,0,0,1438.4,23.47926199261993,1461.87926199262,100.0,-143.84,-43.84,88,45,50,49,56
train,0.1,83,-1,0.8506,123.71954931519622,90.625,8,2,0,0,1780.4,23.47926199261993,1803.87926199262,-402.0,-178.04,-580.0400000000001,50,66,37,55,80
train,0.1,84,-1,0.8488,161.4543360500173,60.763888888888886,2,1,0,0,1415.9999999999998,23.47926199261993,1439.4792619926197,68.0,-141.6,-73.60000000000002,73,67,54,42,52
train,0.1,85,-1,0.847,203.36815234524946,10.069444444444445,0,0,0,0,1301.1,23.47926199261993,1324.5792619926199,-14.0,-130.10999999999999,-144.10999999999999,90,56,59,36,47
train,0.1,86,-1,0.8452,86.7853389678824,54.513888888888886,102,5,0,0,1489.9,23.47926199261993,1513.37926199262,-2604.0,-148.98999999999998,-2752.9900000000007,66,64,57,46,55
train,0.1,87,-1,0.8434,126.23145416918507,74.30555555555556,27,4,0,0,1400.6,23.47926199261993,1424.0792619926199,-739.0,-140.05999999999997,-879.0600000000001,79,61,50,48,50
train,0.1,88,-1,0.8416,148.60452605148376,77.43055555555556,1,1,0,0,1476.9,23.47926199261993,1500.37926199262,-21.0,-147.69,-168.69,81,52,52,42,61
train,0.1,89,-1,0.8398,258.9256015958453,2.083333333333333,0,0,78,3,1586.1,23.47926199261993,1609.5792619926199,-932.0,-158.61,-1090.6100000000001,68,65,40,46,69
train,0.1,90,-1,0.838,247.215621698358,6.944444444444445,0,0,26,6,1555.2,23.47926199261993,1578.67926199262,-458.0,-155.51999999999998,-613.52,61,78,39,46,64
train,0.1,91,-1,0.8362,176.08901705803638,57.638888888888886,0,0,0,0,1478.6,23.47926199261993,1502.0792619926199,48.0,-147.86,-99.86,82,47,45,60,54
train,0.1,92,-1,0.8344,105.0430048213077,62.5,89,3,0,0,1379.5,23.47926199261993,1402.97926199262,-1923.0,-137.95,-2060.9500000000003,74,65,59,43,47
train,0.1,93,-1,0.8326,328.64448733322166,1.3888888888888888,0,0,213,4,1434.0,23.47926199261993,1457.47926199262,-2189.0,-143.39999999999998,-2332.4,90,48,41,53,56
train,0.1,94,-1,0.8308,162.32542832996373,65.625,0,0,0,0,1522.9,23.47926199261993,1546.37926199262,8.0,-152.29000000000002,-144.29000000000002,69,48,61,57,53
train,0.1,95,-1,0.829,193.7435821309352,27.77777777777778,0,0,0,0,1368.1999999999998,23.47926199261993,1391.6792619926198,28.0,-136.82,-108.82,88,50,42,66,42
train,0.1,96,-1,0.8271999999999999,220.73472247587705,17.708333333333336,0,0,19,2,1338.6,23.47926199261993,1362.0792619926199,-213.0,-133.85999999999999,-346.86,80,63,52,51,42
train,0.1,97,-1,0.8254,106.73002977104652,73.26388888888889,47,4,0,0,1408.6,23.47926199261993,1432.0792619926199,-1317.0,-140.86,-1457.8600000000001,59,91,43,49,46
train,0.1,98,-1,0.8236,168.4670943131641,59.72222222222222,0,0,0,0,1335.9,23.47926199261993,1359.37926199262,164.0,-133.59,30.409999999999997,92,45,60,44,47
train,0.1,99,-1,0.8218,290.88772816550403,19.09722222222222,0,0,161,3,1617.2999999999997,23.47926199261993,1640.7792619926197,-1611.0,-161.73000000000002,-1772.73,72,51,49,43,73
eval,0.1,99,0,0.0,222.69458876397027,42.70833333333333,0,0,75,4,322.4,23.47926199261993,345.8792619926199,-659.0,-32.239999999999995,-691.2400000000002,222,14,40,12,0
eval,0.1,99,1,0.0,103.55540690817851,36.80555555555556,98,9,0,0,864.8,23.47926199261993,888.2792619926199,-2322.0,-86.47999999999999,-2408.4800000000005,91,130,3,64,0
eval,0.1,99,2,0.0,146.68499468516382,66.31944444444444,23,1,0,0,419.2,23.47926199261993,442.6792619926199,-519.0,-41.919999999999995,-560.9200000000001,191,61,9,27,0
eval,0.1,99,3,0.0,135.00317784519115,58.333333333333336,29,5,0,0,582.8,23.47926199261993,606.2792619926199,-895.0,-58.28,-953.2800000000002,140,110,5,33,0
eval,0.1,99,4,0.0,83.2994420023453,46.52777777777778,106,10,0,0,1113.1999999999998,23.47926199261993,1136.6792619926198,-2718.0,-111.32,-2829.32,30,176,1,81,0
train,0.1,100,-1,0.82,157.78566498058686,74.30555555555556,0,0,0,0,1212.1,23.47926199261993,1235.5792619926199,142.0,-121.21,20.789999999999985,101,51,52,47,37
train,0.1,101,-1,0.8182,125.93302911652351,50.69444444444444,63,4,0,0,1459.0,23.47926199261993,1482.47926199262,-1523.0,-145.89999999999998,-1668.9,73,63,42,60,50
train,0.1,102,-1,0.8164,124.8774908220226,62.15277777777778,28,6,0,0,1485.5,23.47926199261993,1508.97926199262,-888.0,-148.55,-1036.55,83,52,40,54,59
train,0.1,103,-1,0.8146,103.56546788176928,68.40277777777779,45,12,0,0,1669.5,23.47926199261993,1692.97926199262,-1365.0,-166.95,-1531.95,56,64,41,60,67
