phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,198.26904006082395,31.25,0,0,6,2,1614.3999999999999,23.47926199261993,1637.8792619926198,-354.0,-161.44,-515.4399999999999,53,69,48,58,60
train,0.1,1,-1,0.9982,104.80300446152735,71.18055555555556,45,8,0,0,1557.0,23.47926199261993,1580.47926199262,-885.0,-155.7,-1040.7,53,62,63,60,50
train,0.1,2,-1,0.9964,118.84202470085484,68.05555555555556,32,4,0,0,1546.6999999999998,23.47926199261993,1570.1792619926198,-642.0,-154.67000000000002,-796.6700000000001,61,56,64,52,55
train,0.1,3,-1,0.9946,150.773566484035,80.20833333333334,0,0,0,0,1531.6,23.47926199261993,1555.0792619926199,117.0,-153.16,-36.16,57,63,56,64,48
train,0.1,4,-1,0.9928,137.82978521569328,81.25,19,6,0,0,1509.1999999999998,23.47926199261993,1532.6792619926198,-267.0,-150.92000000000002,-417.9200000000001,67,60,56,49,56
train,0.1,5,-1,0.991,170.89578733642756,49.30555555555556,6,1,0,0,1468.5,23.47926199261993,1491.97926199262,-273.0,-146.85,-419.85,68,58,59,54,49
train,0.1,6,-1,0.9892,151.68701592116147,77.08333333333334,0,0,0,0,1551.6,23.47926199261993,1575.0792619926199,84.0,-155.15999999999997,-71.15999999999998,59,65,54,54,56
train,0.1,7,-1,0.9874,173.3586519958581,56.59722222222222,0,0,0,0,1524.2999999999997,23.47926199261993,1547.7792619926197,-87.0,-152.43,-239.43,63,68,46,56,55
train,0.1,8,-1,0.9856,77.09984585484091,35.41666666666667,163,5,0,0,1591.4,23.47926199261993,1614.87926199262,-3270.0,-159.14,-3429.1400000000003,57,66,47,60,58
train,0.1,9,-1,0.9838,146.39811942122074,91.31944444444444,0,0,0,0,1693.1,23.47926199261993,1716.5792619926199,213.0,-169.31,43.69,46,58,63,58,63
train,0.1,10,-1,0.982,184.8266183497941,46.875,0,0,0,0,1736.9,23.47926199261993,1760.37926199262,-171.0,-173.69,-344.68999999999994,40,61,62,60,65
train,0.1,11,-1,0.9802,116.27428740494936,31.59722222222222,87,11,0,0,1617.0,23.47926199261993,1640.47926199262,-1959.0,-161.7,-2120.7,54,73,48,47,66
train,0.1,12,-1,0.9784,83.2206298364455,39.58333333333333,150,8,0,0,1546.3,23.47926199261993,1569.77926199262,-3006.0,-154.63,-3160.6300000000006,63,57,57,56,55
train,0.1,13,-1,0.9766,144.0706751492153,70.83333333333334,0,0,0,0,1528.5,23.47926199261993,1551.97926199262,-3.0,-152.85,-155.84999999999997,53,71,63,48,53
train,0.1,14,-1,0.9748,143.96860583048056,26.041666666666668,40,7,0,0,1500.1,23.47926199261993,1523.5792619926199,-1233.0,-150.01,-1383.0100000000002,69,58,59,45,57
train,0.1,15,-1,0.973,185.17490867762012,41.66666666666667,0,0,0,0,1695.1,23.47926199261993,1718.5792619926199,-216.0,-169.51,-385.51,50,53,60,62,63
train,0.1,16,-1,0.9712,276.8603984244697,6.597222222222222,0,0,89,5,1571.1,23.47926199261993,1594.5792619926199,-1231.0,-157.10999999999999,-1388.1100000000001,60,63,53,53,59
train,0.1,17,-1,0.9694,91.56850779032645,55.90277777777778,80,12,0,0,1483.0,23.47926199261993,1506.47926199262,-1674.0,-148.3,-1822.3000000000002,65,59,69,41,54
train,0.1,18,-1,0.9676,157.34788539659206,62.5,8,1,0,0,1692.1999999999998,23.47926199261993,1715.6792619926198,-198.0,-169.22,-367.21999999999997,48,54,70,50,66
train,0.1,19,-1,0.9658,215.65261692214347,11.458333333333332,0,0,0,0,1329.8,23.47926199261993,1353.27926199262,-477.0,-132.98,-609.98,85,54,50,61,38
train,0.1,20,-1,0.964,113.84873859983018,69.79166666666666,51,9,0,0,1508.3999999999999,23.47926199261993,1531.8792619926198,-969.0,-150.84,-1119.8400000000001,62,64,56,54,52
train,0.1,21,-1,0.9621999999999999,150.80077253828156,74.30555555555556,8,4,0,0,1543.8,23.47926199261993,1567.27926199262,-126.0,-154.38,-280.38,66,50,53,69,50
train,0.1,22,-1,0.9604,149.50156131057622,94.44444444444444,0,0,0,0,1573.6999999999998,23.47926199261993,1597.1792619926198,240.0,-157.37,82.63000000000001,60,54,64,53,57
train,0.1,23,-1,0.9586,201.40741769943114,29.166666666666668,0,0,0,0,1565.2999999999997,23.47926199261993,1588.7792619926197,-324.0,-156.52999999999997,-480.53,57,64,58,52,57
train,0.1,24,-1,0.9568,98.07685800271588,54.513888888888886,104,9,0,0,1508.1,23.47926199261993,1531.5792619926199,-2058.0,-150.81,-2208.81,59,71,54,51,53
train,0.1,25,-1,0.955,196.14469518794354,36.80555555555556,2,2,4,2,1638.4,23.47926199261993,1661.87926199262,-338.0,-163.83999999999997,-501.84,56,54,57,61,60
train,0.1,26,-1,0.9532,249.72525196240025,16.319444444444446,0,0,97,5,1544.6,23.47926199261993,1568.0792619926199,-1211.0,-154.46,-1365.4599999999998,54,63,70,47,54
train,0.1,27,-1,0.9514,163.0614123511817,75.34722222222221,0,0,0,0,1565.9,23.47926199261993,1589.37926199262,75.0,-156.59,-81.58999999999999,67,53,53,56,59
train,0.1,28,-1,0.9496,86.7077626765985,46.18055555555556,102,13,0,0,1591.6,23.47926199261993,1615.0792619926199,-2172.0,-159.16000000000003,-2331.16,53,65,63,47,60
train,0.1,29,-1,0.9478,204.4271135127971,38.19444444444444,0,0,15,5,1649.6999999999998,23.47926199261993,1673.1792619926198,-366.0,-164.97,-530.97,69,42,54,54,69
train,0.1,30,-1,0.946,122.49674870403425,86.80555555555556,2,1,0,0,1611.1,23.47926199261993,1634.5792619926199,75.0,-161.11,-86.11,60,57,49,63,59
train,0.1,31,-1,0.9442,154.51142562276587,79.51388888888889,0,0,0,0,1623.7,23.47926199261993,1647.17926199262,111.0,-162.37,-51.36999999999999,59,58,56,50,65
train,0.1,32,-1,0.9424,240.97701821599503,15.972222222222221,0,0,72,3,1548.9,23.47926199261993,1572.37926199262,-1014.0,-154.89,-1168.89,52,66,60,61,49
train,0.1,33,-1,0.9406,239.36525879619543,12.5,0,0,25,4,1502.1,23.47926199261993,1525.5792619926199,-668.0,-150.20999999999998,-818.21,65,54,69,47,53
train,0.1,34,-1,0.9388,193.49035963459767,34.02777777777778,0,0,0,0,1564.1999999999998,23.47926199261993,1587.6792619926198,-282.0,-156.42,-438.41999999999996,53,71,59,47,58
train,0.1,35,-1,0.9369999999999999,223.4951926143191,32.63888888888889,0,0,49,4,1734.8,23.47926199261993,1758.27926199262,-686.0,-173.48000000000002,-859.4800000000001,56,52,54,50,76
