phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,196.39298971360157,31.25,0,0,4,2,1694.0,23.47926199261993,1717.47926199262,-338.0,-169.39999999999998,-507.4,55,44,64,61,64
train,0.1,1,-1,0.9982,104.71961385535613,71.18055555555556,45,9,0,0,1524.8,23.47926199261993,1548.27926199262,-885.0,-152.48,-1037.48,63,66,51,52,56
train,0.1,2,-1,0.9964,118.44076602029925,67.36111111111111,34,5,0,0,1608.1,23.47926199261993,1631.5792619926199,-687.0,-160.81,-847.81,58,50,64,59,57
train,0.1,3,-1,0.9946,149.17129217847935,83.33333333333334,0,0,0,0,1641.0,23.47926199261993,1664.47926199262,141.0,-164.1,-23.099999999999994,56,59,58,49,66
train,0.1,4,-1,0.9928,137.2888390351378,79.86111111111111,22,6,0,0,1638.8,23.47926199261993,1662.27926199262,-336.0,-163.88,-499.87999999999994,49,65,50,68,56
train,0.1,5,-1,0.991,169.75162066976088,46.18055555555556,7,1,0,0,1674.0,23.47926199261993,1697.47926199262,-339.0,-167.39999999999998,-506.4,55,47,66,56,64
train,0.1,6,-1,0.9892,151.0095246017169,78.47222222222221,0,0,0,0,1636.8,23.47926199261993,1660.27926199262,96.0,-163.68,-67.67999999999998,51,57,66,54,60
train,0.1,7,-1,0.9874,173.19037942641359,56.94444444444444,0,0,0,0,1578.9999999999998,23.47926199261993,1602.4792619926197,-84.0,-157.9,-241.9,59,59,65,43,62
train,0.1,8,-1,0.9856,76.96360244708904,35.41666666666667,162,6,0,0,1592.1,23.47926199261993,1615.5792619926199,-3255.0,-159.21,-3414.21,56,60,58,57,57
train,0.1,9,-1,0.9838,149.4969649073318,87.5,0,0,0,0,1553.5,23.47926199261993,1576.97926199262,180.0,-155.35,24.65000000000001,69,46,64,50,59
train,0.1,10,-1,0.982,187.78753848868305,43.75,0,0,0,0,1521.5,23.47926199261993,1544.97926199262,-198.0,-152.15,-350.15,63,68,47,55,55
train,0.1,11,-1,0.9802,116.89582308532658,31.59722222222222,84,8,0,0,1626.1999999999998,23.47926199261993,1649.6792619926198,-1914.0,-162.62,-2076.6200000000003,55,66,54,47,66
train,0.1,12,-1,0.9784,83.47787096187783,39.93055555555556,151,7,0,0,1498.5,23.47926199261993,1521.97926199262,-3015.0,-149.84999999999997,-3164.8500000000004,50,68,66,63,41
train,0.1,13,-1,0.9766,144.45253278810412,72.22222222222221,0,0,0,0,1544.3,23.47926199261993,1567.77926199262,18.0,-154.43,-136.43,50,64,74,49,51
train,0.1,14,-1,0.9748,142.48767658445502,26.73611111111111,45,7,0,0,1673.4,23.47926199261993,1696.87926199262,-1299.0,-167.33999999999997,-1466.3400000000001,51,52,58,69,58
train,0.1,15,-1,0.973,188.49590694150908,37.5,0,0,0,0,1532.0,23.47926199261993,1555.47926199262,-252.0,-153.2,-405.2,63,61,57,51,56
train,0.1,16,-1,0.9712,276.14999911891414,6.597222222222222,0,0,87,5,1624.2,23.47926199261993,1647.67926199262,-1215.0,-162.42000000000002,-1377.42,60,55,53,58,62
train,0.1,17,-1,0.9694,91.67489499954121,55.90277777777778,82,12,0,0,1539.3,23.47926199261993,1562.77926199262,-1704.0,-153.92999999999998,-1857.93,58,62,54,65,49
train,0.1,18,-1,0.9676,155.7775520046398,63.541666666666664,7,2,0,0,1632.1,23.47926199261993,1655.5792619926199,-171.0,-163.21,-334.21000000000004,48,62,55,70,53
train,0.1,19,-1,0.9658,211.54591553325452,12.5,0,0,0,0,1640.3,23.47926199261993,1663.77926199262,-468.0,-164.03000000000003,-632.03,61,47,53,68,59
eval,0.1,19,0,0.0,123.69624525331925,80.20833333333334,19,3,0,0,333.0,23.47926199261993,356.4792619926199,-306.0,-33.3,-339.3,247,18,0,1,22
eval,0.1,19,1,0.0,164.5094964966147,68.75,1,1,0,0,422.3,23.47926199261993,445.7792619926199,-21.0,-42.230000000000004,-63.230000000000004,248,7,0,2,31
eval,0.1,19,2,0.0,162.80609256057616,82.63888888888889,0,0,0,0,386.9,23.47926199261993,410.3792619926199,138.0,-38.69,99.31,252,6,0,1,29
train,0.1,20,-1,0.964,200.77445762998673,29.51388888888889,0,0,0,0,1602.8,23.47926199261993,1626.27926199262,-321.0,-160.27999999999997,-481.28,60,58,52,58,60
train,0.1,21,-1,0.9621999999999999,99.47342476911315,55.90277777777778,98,10,0,0,1458.1999999999998,23.47926199261993,1481.6792619926198,-1944.0,-145.82,-2089.82,63,58,71,50,46
train,0.1,22,-1,0.9604,196.46149206294362,37.15277777777778,2,2,4,2,1588.6999999999998,23.47926199261993,1612.1792619926198,-335.0,-158.87,-493.87,65,59,47,54,63
train,0.1,23,-1,0.9586,249.39925369851133,16.319444444444446,0,0,94,7,1658.1,23.47926199261993,1681.5792619926199,-1187.0,-165.81,-1352.81,57,47,61,62,61
train,0.1,24,-1,0.9568,163.33603040673728,75.0,0,0,0,0,1525.2999999999997,23.47926199261993,1548.7792619926197,72.0,-152.52999999999997,-80.52999999999999,67,53,50,69,49
train,0.1,25,-1,0.955,86.78084039196955,46.875,101,14,0,0,1635.3,23.47926199261993,1658.77926199262,-2145.0,-163.52999999999997,-2308.5299999999997,55,52,66,54,61
train,0.1,26,-1,0.9532,206.39460483224164,36.45833333333333,0,0,16,5,1507.1000000000001,23.47926199261993,1530.57926199262,-389.0,-150.70999999999998,-539.7099999999999,75,52,47,59,55
train,0.1,27,-1,0.9514,122.08764280125635,86.80555555555556,2,1,0,0,1627.6999999999998,23.47926199261993,1651.1792619926198,75.0,-162.76999999999998,-87.77,50,58,65,58,57
train,0.1,28,-1,0.9496,155.41152978943262,77.77777777777779,0,0,0,0,1509.8,23.47926199261993,1533.27926199262,96.0,-150.98,-54.98,72,61,44,53,58
train,0.1,29,-1,0.9478,240.3253602298839,16.666666666666664,0,0,71,2,1645.3,23.47926199261993,1668.77926199262,-1000.0,-164.53,-1164.53,55,54,52,70,57
