phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,196.78592374137943,31.25,0,0,5,2,1700.2999999999997,23.47926199261993,1723.7792619926197,-289.0,-170.03,-459.03,43,63,53,70,59
train,0.1,1,-1,0.9982,105.22502184146725,71.52777777777779,44,9,0,0,1496.4,23.47926199261993,1519.87926199262,-1314.0,-149.64,-1463.64,55,70,55,64,44
train,0.1,2,-1,0.9964,118.46096567307707,66.66666666666666,35,4,0,0,1613.6,23.47926199261993,1637.0792619926199,-1085.0,-161.36,-1246.36,57,57,58,56,60
train,0.1,3,-1,0.9946,149.01114460903494,82.29166666666666,0,0,0,0,1614.0,23.47926199261993,1637.47926199262,-38.0,-161.4,-199.40000000000003,62,63,48,47,68
train,0.1,4,-1,0.9928,138.0331272295822,80.55555555555556,20,6,0,0,1543.6,23.47926199261993,1567.0792619926199,-336.0,-154.35999999999999,-490.36000000000007,64,64,52,48,60
train,0.1,5,-1,0.991,172.42519705864976,48.61111111111111,5,1,0,0,1461.8,23.47926199261993,1485.27926199262,-207.0,-146.17999999999998,-353.18000000000006,71,51,60,60,46
train,0.1,6,-1,0.9892,150.74819647671703,78.47222222222221,0,0,0,0,1651.8,23.47926199261993,1675.27926199262,-100.0,-165.18,-265.18,45,66,58,61,58
train,0.1,7,-1,0.9874,172.50813984308024,57.638888888888886,0,0,0,0,1618.4,23.47926199261993,1641.87926199262,142.0,-161.84,-19.840000000000003,55,65,55,49,64
train,0.1,8,-1,0.9856,76.68046897154007,35.06944444444444,163,5,0,0,1605.6,23.47926199261993,1629.0792619926199,-3579.0,-160.56,-3739.56,55,56,61,60,56
train,0.1,9,-1,0.9838,147.84140067122075,90.625,0,0,0,0,1581.6,23.47926199261993,1605.0792619926199,60.0,-158.15999999999997,-98.16000000000001,61,55,55,61,56
train,0.1,10,-1,0.982,185.86654890534962,46.52777777777778,0,0,0,0,1666.1999999999998,23.47926199261993,1689.6792619926198,126.0,-166.62,-40.620000000000005,60,48,50,68,62
