baseline,episode,mean_glucose,time_in_range_percent,hypo_count,severe_hyper_count,total_insulin_units,total_reward,episode_length,seed
no_insulin,0,218.04013061523438,30.44982698961938,0,29,0.0,-485.0,288,42
no_insulin,1,225.20330810546875,5.190311418685121,0,3,0.0,-213.0,288,43
no_insulin,2,224.5175018310547,29.41176470588235,0,65,0.0,-665.0,288,44
no_insulin,3,102.68406677246094,66.78200692041523,52,0,0.0,-1596.0,288,45
no_insulin,4,178.50100708007812,18.685121107266436,35,0,0.0,-939.0,288,46
no_insulin,5,287.2238464355469,4.498269896193771,0,160,0.0,-1666.0,288,47
no_insulin,6,236.99127197265625,15.22491349480969,0,49,0.0,-603.0,288,48
no_insulin,7,185.33102416992188,39.792387543252595,0,0,0.0,-56.0,288,49
no_insulin,8,102.67369079589844,58.13148788927336,54,0,0.0,-1670.0,288,50
no_insulin,9,218.47279357910156,21.79930795847751,0,29,0.0,-317.0,288,51
no_insulin,10,257.2738037109375,27.335640138408305,0,106,0.0,-1020.0,288,52
no_insulin,11,126.46875,76.47058823529412,18,0,0.0,-716.0,288,53
no_insulin,12,199.1856689453125,32.17993079584775,0,0,0.0,50.0,288,54
no_insulin,13,126.8291244506836,94.4636678200692,0,0,0.0,-330.0,288,55
no_insulin,14,221.30259704589844,26.643598615916954,0,5,0.0,-111.0,288,56
no_insulin,15,129.55731201171875,95.50173010380622,0,0,0.0,-300.0,288,57
no_insulin,16,195.39666748046875,48.09688581314879,0,39,0.0,-519.0,288,58
no_insulin,17,108.2486343383789,79.93079584775087,31,0,0.0,-1221.0,288,59
no_insulin,18,111.09310150146484,75.08650519031141,51,0,0.0,-1335.0,288,60
no_insulin,19,139.14163208007812,42.90657439446367,68,14,0.0,-1814.0,288,61
single_threshold,0,205.89459228515625,30.44982698961938,0,8,1451.599999999997,-439.15999999999894,288,42
single_threshold,1,209.92047119140625,7.26643598615917,0,0,1345.1999999999982,-202.51999999999964,288,43
single_threshold,2,214.9938201904297,29.41176470588235,0,32,1261.5999999999992,-484.15999999999957,288,44
single_threshold,3,102.68406677246094,66.78200692041523,52,0,0.0,-1596.0,288,45
single_threshold,4,170.96871948242188,23.18339100346021,35,0,965.200000000002,-991.5199999999988,288,46
single_threshold,5,266.6735534667969,4.498269896193771,0,104,1869.599999999992,-1328.9599999999982,288,47
single_threshold,6,221.02073669433594,17.993079584775085,0,15,1481.9999999999966,-385.19999999999936,288,48
single_threshold,7,176.6232452392578,47.05882352941177,0,0,539.6000000000007,-105.96000000000001,288,49
single_threshold,8,102.3640365600586,57.78546712802768,54,0,30.4,-1685.04,288,50
single_threshold,9,206.18919372558594,33.56401384083045,0,7,1056.4000000000017,-160.6400000000001,288,51
single_threshold,10,250.98123168945312,27.335640138408305,0,101,1291.9999999999989,-1092.1999999999994,288,52
single_threshold,11,125.6554946899414,75.4325259515571,19,0,45.6,-733.56,288,53
single_threshold,12,194.16741943359375,35.98615916955017,0,0,798.0000000000015,-1.8000000000000336,288,54
single_threshold,13,126.8291244506836,94.4636678200692,0,0,0.0,-330.0,288,55
single_threshold,14,211.12478637695312,28.37370242214533,0,0,1307.1999999999987,-188.71999999999989,288,56
single_threshold,15,129.55731201171875,95.50173010380622,0,0,0.0,-300.0,288,57
single_threshold,16,190.91424560546875,49.134948096885815,0,32,790.4000000000015,-523.0399999999996,288,58
single_threshold,17,108.2486343383789,79.93079584775087,31,0,0.0,-1221.0,288,59
single_threshold,18,111.09310150146484,75.08650519031141,51,0,0.0,-1335.0,288,60
single_threshold,19,137.41189575195312,42.90657439446367,68,7,547.2000000000007,-1805.7199999999993,288,61
two_threshold,0,210.0112762451172,30.44982698961938,0,11,1006.2999999999975,-423.6299999999999,288,42
two_threshold,1,214.40081787109375,5.190311418685121,0,0,983.9999999999964,-222.3999999999994,288,43
two_threshold,2,217.393798828125,29.41176470588235,0,43,1129.8,-573.9800000000001,288,44
two_threshold,3,102.68406677246094,66.78200692041523,52,0,0.0,-1596.0,288,45
two_threshold,4,173.49545288085938,20.761245674740483,35,0,643.1999999999996,-973.3200000000024,288,46
two_threshold,5,268.049560546875,4.498269896193771,0,110,2024.8999999999955,-1400.4900000000018,288,47
two_threshold,6,225.57766723632812,15.916955017301039,0,19,1144.699999999997,-413.4700000000008,288,48
two_threshold,7,179.39578247070312,44.63667820069204,0,0,379.20000000000056,-93.91999999999996,288,49
two_threshold,8,102.4781265258789,58.13148788927336,54,0,19.2,-1677.92,288,50
two_threshold,9,210.24855041503906,28.719723183391004,0,16,828.7999999999997,-234.88000000000005,288,51
two_threshold,10,251.33958435058594,27.335640138408305,0,102,1608.1000000000004,-1138.81,288,52
two_threshold,11,125.9551010131836,76.12456747404845,19,0,28.8,-731.88,288,53
two_threshold,12,195.89707946777344,35.294117647058826,0,0,523.2000000000007,17.680000000000092,288,54
two_threshold,13,126.8291244506836,94.4636678200692,0,0,0.0,-330.0,288,55
two_threshold,14,214.75283813476562,28.027681660899653,0,1,838.0999999999977,-152.80999999999995,288,56
two_threshold,15,129.55731201171875,95.50173010380622,0,0,0.0,-300.0,288,57
two_threshold,16,192.02487182617188,49.134948096885815,0,36,778.3000000000004,-561.8299999999998,288,58
two_threshold,17,108.2486343383789,79.93079584775087,31,0,0.0,-1221.0,288,59
two_threshold,18,111.09310150146484,75.08650519031141,51,0,0.0,-1335.0,288,60
two_threshold,19,138.01454162597656,42.90657439446367,68,10,414.9000000000004,-1819.4900000000011,288,61
